time, bpm
0,71.77570093457943
1,77.57575757575758
2,80.84210526315789
3,79.17525773195877
4,77.57575757575758
5,80.84210526315789
6,76.03960396039604
7,74.5631067961165
8,74.5631067961165
9,73.14285714285715
10,72.45283018867924
11,78.3673469387755
12,80.0
13,79.17525773195877
14,79.17525773195877
15,79.17525773195877
16,78.3673469387755
17,76.03960396039604
18,75.29411764705883
19,71.11111111111111
20,67.36842105263158
21,71.11111111111111
22,67.36842105263158
23,67.36842105263158
24,69.1891891891892
25,70.45871559633028
26,71.11111111111111
27,71.77570093457943
28,76.03960396039604
29,72.45283018867924
30,71.77570093457943
31,74.5631067961165
32,71.11111111111111
33,68.57142857142857
34,76.03960396039604
35,71.77570093457943
36,69.81818181818181
37,73.14285714285715
38,74.5631067961165
39,75.29411764705883
40,80.84210526315789
41,80.84210526315789
42,80.84210526315789
43,80.84210526315789
44,80.84210526315789
45,80.84210526315789
46,85.33333333333334
47,83.47826086956522
48,84.39560439560441
49,83.47826086956522
50,82.58064516129033
51,83.47826086956522
52,79.17525773195877
53,76.03960396039604
54,71.77570093457943
55,69.81818181818181
56,68.57142857142857
57,68.57142857142857
58,67.36842105263158
59,71.11111111111111
60,73.84615384615385
61,76.8
62,80.84210526315789
63,83.47826086956522
64,83.47826086956522
65,85.33333333333334
66,82.58064516129033
67,78.3673469387755
68,74.5631067961165
69,73.84615384615385
70,72.45283018867924
71,71.11111111111111
72,70.45871559633028
73,70.45871559633028
74,69.81818181818181
75,69.1891891891892
76,69.81818181818181
77,67.36842105263158
78,68.57142857142857
79,71.11111111111111
80,72.45283018867924
81,71.77570093457943
82,73.14285714285715
83,77.57575757575758
84,81.70212765957447
85,81.70212765957447
86,83.47826086956522
87,88.27586206896552
88,89.30232558139535
89,88.27586206896552
90,80.84210526315789
91,84.39560439560441
92,80.0
93,76.8
94,78.3673469387755
95,82.58064516129033
96,81.70212765957447
97,79.17525773195877
98,79.17525773195877

